survey_id,survey_label,question_id,given,given_game,given_chain,generation,answer
1,between,1,13,between-category-game-a,frip,1,4
12,between-splish,581,13,between-category-game-a,frip,1,4
1,between,2,15,between-category-game-a,frip,1,4
1,between,3,29,between-category-game-a,frip,1,4
1,between,4,18,between-category-game-a,frip,2,4
12,between-splish,625,18,between-category-game-a,frip,2,4
1,between,5,85,between-category-game-a,frip,2,4
1,between,6,60,between-category-game-a,frip,2,4
12,between-splish,561,60,between-category-game-a,frip,2,4
1,between,7,23,between-category-game-a,frip,2,4
1,between,8,41,between-category-game-a,frip,2,4
1,between,9,30,between-category-game-a,frip,2,4
12,between-splish,635,30,between-category-game-a,frip,2,4
1,between,10,94,between-category-game-a,frip,2,4
1,between,11,78,between-category-game-a,frip,2,4
12,between-splish,559,78,between-category-game-a,frip,2,4
1,between,12,114,between-category-game-a,frip,2,4
1,between,13,55,between-category-game-a,frip,2,4
12,between-splish,618,55,between-category-game-a,frip,2,4
1,between,14,33,between-category-game-a,frip,3,4
12,between-splish,592,33,between-category-game-a,frip,3,4
1,between,15,42,between-category-game-a,frip,3,4
12,between-splish,580,42,between-category-game-a,frip,3,4
1,between,16,111,between-category-game-a,frip,3,4
12,between-splish,639,111,between-category-game-a,frip,3,4
1,between,17,71,between-category-game-a,frip,3,4
1,between,18,58,between-category-game-a,frip,3,4
1,between,19,134,between-category-game-a,frip,3,4
12,between-splish,578,134,between-category-game-a,frip,3,4
1,between,20,107,between-category-game-a,frip,3,4
1,between,21,62,between-category-game-a,frip,3,4
12,between-splish,551,62,between-category-game-a,frip,3,4
1,between,22,116,between-category-game-a,frip,3,4
1,between,23,82,between-category-game-a,frip,3,4
12,between-splish,585,82,between-category-game-a,frip,3,4
1,between,24,48,between-category-game-a,frip,4,4
12,between-splish,568,48,between-category-game-a,frip,4,4
1,between,25,123,between-category-game-a,frip,4,4
12,between-splish,569,123,between-category-game-a,frip,4,4
1,between,26,77,between-category-game-a,frip,4,4
12,between-splish,588,77,between-category-game-a,frip,4,4
1,between,27,131,between-category-game-a,frip,4,4
12,between-splish,640,131,between-category-game-a,frip,4,4
1,between,28,66,between-category-game-a,frip,4,4
1,between,29,103,between-category-game-a,frip,4,4
1,between,30,9,between-category-game-a,heeh,1,1
12,between-splish,582,9,between-category-game-a,heeh,1,1
1,between,31,10,between-category-game-a,heeh,1,1
12,between-splish,615,10,between-category-game-a,heeh,1,1
1,between,32,21,between-category-game-a,heeh,1,1
1,between,33,24,between-category-game-a,heeh,2,1
12,between-splish,626,24,between-category-game-a,heeh,2,1
1,between,34,26,between-category-game-a,heeh,2,1
12,between-splish,589,26,between-category-game-a,heeh,2,1
1,between,35,53,between-category-game-a,heeh,2,1
12,between-splish,650,53,between-category-game-a,heeh,2,1
1,between,36,37,between-category-game-a,heeh,2,1
12,between-splish,617,37,between-category-game-a,heeh,2,1
1,between,37,39,between-category-game-a,heeh,2,1
12,between-splish,598,39,between-category-game-a,heeh,2,1
1,between,38,35,between-category-game-a,heeh,2,1
12,between-splish,601,35,between-category-game-a,heeh,2,1
1,between,39,32,between-category-game-a,heeh,3,1
1,between,40,51,between-category-game-a,heeh,3,1
1,between,41,63,between-category-game-a,heeh,3,1
1,between,42,57,between-category-game-a,heeh,3,1
1,between,43,135,between-category-game-a,heeh,3,1
1,between,44,115,between-category-game-a,heeh,3,1
12,between-splish,556,115,between-category-game-a,heeh,3,1
1,between,45,47,between-category-game-a,heeh,3,1
12,between-splish,593,47,between-category-game-a,heeh,3,1
1,between,46,124,between-category-game-a,heeh,3,1
12,between-splish,560,124,between-category-game-a,heeh,3,1
1,between,47,67,between-category-game-a,heeh,4,1
1,between,48,133,between-category-game-a,heeh,4,1
12,between-splish,609,133,between-category-game-a,heeh,4,1
1,between,49,128,between-category-game-a,heeh,4,1
1,between,50,104,between-category-game-a,heeh,4,1
12,between-splish,552,104,between-category-game-a,heeh,4,1
1,between,51,80,between-category-game-a,heeh,4,1
12,between-splish,622,80,between-category-game-a,heeh,4,1
1,between,52,98,between-category-game-a,heeh,4,1
12,between-splish,584,98,between-category-game-a,heeh,4,1
1,between,53,97,between-category-game-a,heeh,4,1
12,between-splish,613,97,between-category-game-a,heeh,4,1
1,between,54,74,between-category-game-a,heeh,4,1
12,between-splish,641,74,between-category-game-a,heeh,4,1
1,between,55,117,between-category-game-a,heeh,4,1
12,between-splish,575,117,between-category-game-a,heeh,4,1
1,between,56,73,between-category-game-a,heeh,4,1
1,between,57,86,between-category-game-a,heeh,5,1
1,between,58,92,between-category-game-a,heeh,5,1
12,between-splish,596,92,between-category-game-a,heeh,5,1
1,between,59,108,between-category-game-a,heeh,5,1
1,between,60,12,between-category-game-a,riri,1,2
1,between,61,75,between-category-game-a,riri,1,2
1,between,62,59,between-category-game-a,riri,1,2
12,between-splish,586,59,between-category-game-a,riri,1,2
1,between,63,16,between-category-game-a,riri,2,2
12,between-splish,636,16,between-category-game-a,riri,2,2
1,between,64,46,between-category-game-a,riri,2,2
1,between,65,22,between-category-game-a,riri,2,2
12,between-splish,554,22,between-category-game-a,riri,2,2
1,between,66,93,between-category-game-a,riri,2,2
12,between-splish,577,93,between-category-game-a,riri,2,2
1,between,67,118,between-category-game-a,riri,2,2
12,between-splish,566,118,between-category-game-a,riri,2,2
1,between,68,17,between-category-game-a,riri,3,2
12,between-splish,608,17,between-category-game-a,riri,3,2
1,between,69,34,between-category-game-a,riri,3,2
12,between-splish,555,34,between-category-game-a,riri,3,2
1,between,70,95,between-category-game-a,riri,3,2
